backend,submode,bit_width,episode_id,query_index,plaintext_m,threshold,interval_lo_before,interval_hi_before,interval_lo_after,interval_hi_after,threshold_freshly_encrypted_by_attacker,registration_attempted,registration_succeeded,threshold_registered,lhs_handle,rhs_handle,handle_lookup_succeeded,statement_construction_called,statement_construction_succeeded,proof_generation_called,proof_present,proof_verification_called,proof_verification_succeeded,gate_checked_admissibility,final_release_attempted,accepted,rejected,bit,latency_us,bytes,acceptance_stage,detail
unsafe_compare,released_compare_bits,8,1,1,104,128,0,255,0,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12434588,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,2,104,64,0,127,64,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10138064,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,3,104,96,64,127,96,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9494760,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,4,104,112,96,127,96,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9430682,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,5,104,104,96,111,104,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9661818,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,6,104,108,104,111,104,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9592032,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,7,104,106,104,107,104,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10173052,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
unsafe_compare,released_compare_bits,8,1,8,104,105,104,105,104,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9893075,20257,accepted_without_registration_check,unsafe_compare_uses_direct_ciphertexts
orhe_attack,fresh_unregistered_threshold,8,1,1,104,128,0,255,0,255,1,0,0,0,9388609,136217984,0,1,0,0,0,0,0,0,0,0,1,,92,20256,rejected_missing_registration,compare_rejected_before_proof_due_to_missing_threshold_registration
orhe_attack,registered_threshold_if_supported,8,1,1,104,128,0,255,0,255,1,1,0,0,9388609,136217984,0,0,0,0,0,0,0,0,0,0,1,,102,60776,rejected_pre_release,register_derived_rejected:derived_registration_requires_source_handles
